Geneid,WT_FLB_3DAA_rep1,WT_FLB_3DAA_rep2,WT_FLB_3DAA_rep3,WT_FLB_7DAA_rep1,WT_FLB_7DAA_rep2,WT_FLB_7DAA_rep3,WT_FLB_10DAA_rep1,WT_FLB_10DAA_rep2,WT_FLB_10DAA_rep3,WT_FLB_13DAA_rep1,WT_FLB_13DAA_rep2,WT_FLB_13DAA_rep3,WT_FLB_15DAA_rep1,WT_FLB_15DAA_rep2,WT_FLB_15DAA_rep3,WT_FLB_17DAA_rep1,WT_FLB_17DAA_rep2,WT_FLB_17DAA_rep3,WT_FLB_19DAA_rep1,WT_FLB_19DAA_rep2,WT_FLB_19DAA_rep3,WT_FLB_21DAA_rep1,WT_FLB_21DAA_rep2,WT_FLB_21DAA_rep3,WT_FLB_23DAA_rep1,WT_FLB_23DAA_rep2,WT_FLB_23DAA_rep3,WT_FLB_26DAA_rep1,WT_FLB_26DAA_rep2,WT_FLB_26DAA_rep3
TraesCS2D02G225400,0.286681863185638,0.97130067333975,1.16367135721287,3.33771586140237,0.721499229918954,1.77929519322552,2.09109020505956,2.81973117688875,1.1913312109359,0.709769361232025,2.67704806274825,3.79979525179796,4.85152803264898,4.23509192168659,5.94300026276616,3.9998059033762,5.33434878760411,5.44444367022947,6.72900817206679,5.5598501023651,6.14661439572437,15.032907319933,12.1157928948153,4.46084292795429,25.167566819975,12.174648509949,30.6105360908592,35.6335404754382,19.0526033677341,17.3859321182128
TraesCS2D02G225500,0.52245137316955,0.177010629451038,1.5402864209985,0.260686315534913,0.0928140776530412,0.457779122647898,0,0,2.82241927053899,0.291035135567943,0,0.23082593192388,2.29878073959825,0.771806617062364,0.419247960229331,0,0.0498531327049032,0.195186859522139,0.525557123620279,0.97270236658393,0.32004686765278,0.652287935778898,0.165599400793849,0,0.252471080916413,0.253567760690709,0.138309648185354,1.90581424409293,2.48011573359626,0.324043618787534
TraesCS2D02G271000_M,0,0,0,0,0,0.565422275518593,0,0,0.268160686010264,0,0,0,0,0,0,0,0.12315140792219,0.1205417556222,0.129827547850384,0.300356415521394,0,0,0.409077589557931,0,0,0,0,0,0,0
TraesCS2D02G298200,0.135723780638611,0,0,0,0.120557416081939,0,0,0,0,0,0.181056390717273,0,0,0,0,0,0,0,0.13653060059266,0,0,0,0,0,0,0.329362471766736,0.538956618200539,0,0.214763645046922,0.140301494366342
TraesCS2D02G506100,0,0,0.0731126835938447,0.0355751976091612,0,0,0,0,0.118513344673741,0,0,0,0,0,0,0,0,0.0532733073001043,0,0,0,0.0712128587671824,0.180791428045968,0,0,0.0692074931158122,0,0,0,0.11792375316364
TraesCS2D02G518100,1.21138538540134,0.868210717960406,1.19444664055367,0.92991088675887,1.20017606756199,1.73503411876717,1.5293047768346,0.392798372899925,0.774464070790836,0.865141758715653,0.870151609118833,0.926318245463184,0.630779100762322,1.72072557348792,0.93470394118293,2.38352170472059,1.20038158710724,1.13142830696882,0.937374272725722,1.40960179709714,1.14165972192559,1.39609089538349,1.03376043853772,0.945625366514212,1.68863586769653,0.678388374683726,1.97349289052536,1.13305871725923,1.3270470007377,0.963263991171899
TraesCS2D02G586500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G601700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G601600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G548200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
