Geneid,Control_rep1,Control_rep2,Control_rep3,100mM_NaCl_rep1,100mM_NaCl_rep2,100mM_NaCl_rep3,200mM_NaCl_rep1,200mM_NaCl_rep2,200mM_NaCl_rep3,300mM_NaCl_rep1,300mM_NaCl_rep2,300mM_NaCl_rep3
TraesCS2D02G225400,8.34853450608017,9.15347646475536,10.1392413901473,5.26485298132072,4.5376691720897,3.76044485718159,4.02125658532003,5.05094416495014,3.77038805772792,17.2556765021372,17.9648756515358,18.2031603933522
TraesCS2D02G225500,0.717984695428329,0.444836544141838,1.08581100912763,1.35454745667584,2.21590094950973,1.05303201225699,4.17153420687922,3.08121312401098,2.43878716021107,0.963237951007428,1.42001940926593,0.518674998464945
TraesCS2D02G271000_M,0,0,0,0,0,0.0619354376595106,0,0,0,0.279937826770969,0.146160481832281,0.16015933415132
TraesCS2D02G298200,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS2D02G506100,0,0,0,0,0.0262955095214987,0.0547446083918476,0.215402732377152,0.539490584260256,0.0633933472500349,1.02067548125962,1.03352764009001,0.778604817832703
TraesCS2D02G518100,10.2446771467087,11.4547484913837,11.670762439231,6.99617864711256,6.01428015660249,8.18345080314216,5.32884467512495,5.91035854525509,5.28187219186438,16.573781706623,20.1034744073921,17.5768893136516
TraesCS2D02G586500,0.0989800089640669,0,0,0.435715803695188,0.185944289402361,0.0967793312553053,0.0543994402955949,0.448813796168694,0.728447578040358,0,0.0570970119136199,0
TraesCS2D02G601700,2.44123308415939,1.65429357961462,1.41684227550504,0.951508699252061,0.907667888483102,1.39239087651132,4.58414979176959,4.20871567952866,4.26125170079955,0.561908397097328,0.234705835971339,0.514370641631211
TraesCS2D02G601600,0.291833915318657,0.263680391988838,0.460698635138425,0.321167502128497,0.593927212743851,0.64202717073832,1.84450800637187,1.59897335748129,1.65212622247859,0.403035487203738,0.252518332451307,0.153724360904169
TraesCS2D02G548200,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3D02G003600,2.12809773307495,2.08549620214744,2.78183616590312,17.1596740202344,17.2599656523799,17.6866516751418,26.4960087459547,27.1859528692623,27.2460161538105,2.57727400698698,3.39951224188204,4.44943485744928
TraesCS3D02G027300,0.799882593234247,0.663199204725859,0.314587935567031,4.29784995170802,3.40308980838083,4.18652650298462,6.98213161721004,7.46730823376001,7.51162494396791,0.363892309367828,1.08568342551042,0.773283694928303
TraesCS3D02G199100,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS3D02G303400,1.11936296286608,0.60682610759075,1.06023795483911,0.554343907783433,0.578281079636795,0.383066439770809,0.43064153573423,0.697898621782103,0.823799924633159,0.494684652787054,1.16227616032382,0.566042578233433
TraesCS3D02G325400,2.03030466240097,2.103490106202,2.06132297289796,8.54029706273471,8.00969286132066,9.35232708098814,45.3781441567591,50.9920620554723,44.1877882178997,101.739410161705,108.582263277173,103.410509613428
TraesCS3D02G328900,0.0978604745978732,0,0.0545243893647449,0,0.0459602817784279,0,0.322704863390236,0.221868696309607,0,0.108119699561242,0.508060836548737,0.123715892847427
TraesCS3D02G333300,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4D02G262600,0,0,0,0,0,0,0,0,0,0.0628398717867545,0,0
TraesCS4D02G040300,0.0434389525459549,0.329686151070272,0.24202645367753,0.430246836873852,0.326418445424582,0.467204651122038,0.811718051238817,0.541664966935431,0.442648821332716,0.383943079599639,0.451042786374928,0.549158260335743
TraesCS4D02G015400_M,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS4D02G313000,1.18221854387403,0.663001251696988,0.908538328328288,1.25618508593053,1.11046053319087,1.31537274004924,1.92683782483809,3.05001814530494,3.00020260800436,0.450398859314155,0.799548068160679,0.463831730195993
TraesCS5D02G021800,0.12026516215912,0.456384835455414,1.13912728753769,2.64707148115719,1.97689339571071,1.82266421651958,7.9978297316351,9.06609372927109,7.01268818162784,18.3364998894485,19.2863715434274,15.2800255015888
TraesCS5D02G071500,0,0,0,0,0,0,0,0,0.060956926510191,0,0,0
TraesCS5D02G228400,1.38083307359398,1.82984657005216,1.65268050016769,2.13873435353441,3.41068118874922,2.20021550584036,7.307986005774,8.75413182085436,7.87505840010935,0.282517226078837,0.708034712408672,0.258616115368126
TraesCS5D02G228500,104.304228181961,94.1078333511634,110.387467990631,65.422273748978,64.0147291465249,63.8797605683093,43.4359227001506,50.7379167368481,52.1329707206653,64.9687784585779,62.1368311481258,66.7751331749365
TraesCS5D02G496600,1.2238481289914,1.74914641874834,2.23162304065629,0.550989330429222,0.470275893809981,0.435140956869542,0.794923137390546,0.378368362957647,1.00777200136667,1.29068913663067,0.577621359555788,0.351635754443424
TraesCS6D02G009800,0.203014897612979,0.330173708229501,0.226225416743165,0.307203697688127,0.357548154829074,0.27293908707716,0.669462263182228,0.373972779260992,0.747048378859884,0.700931282093458,0.702659707690593,0.288734451785222
TraesCS6D02G012400,0.37276975135562,0.577385594043624,0.534070539418468,0.996293685096655,0.550225444346668,1.14551408305519,2.3999567700575,2.41468972160275,2.83385705706537,0.176506779624056,0.122876407970513,0
TraesCS6D02G045700,0.336467337661511,0.57327219340632,0.482059748324774,1.79853801191958,1.08358123157611,1.12795361761085,3.90979088409464,2.83339376287151,2.72114907231768,1.59317557294654,1.71910519660968,1.64069106132073
TraesCS6D02G251700,1.33091681410182,1.63802979827431,1.36282971157603,1.22717560607866,1.09808993111849,1.07271450977848,0.731472249041917,0.856302477576441,0.651638339841885,1.56979808838386,1.39024032774366,1.22780989181742
TraesCS6D02G308500,1.31745368297405,0.867260498487662,1.41564571005164,2.1748156382137,1.59105497534688,1.51819092965376,1.55158480382445,0.853406655286858,1.75803988050313,0.311907693743853,0.488557541479688,0.178450083444993
TraesCS6D02G308600,0.142156211327903,0.256884505597373,0.0528029363500074,1.72089494052872,0.801165891258756,0.694977865232202,0.937549116640832,1.61147865924616,0.321909129946859,0.785295949293882,1.03870942936156,0.838669399901919
TraesCS6D02G308700,24.0191726295001,27.3071748415837,24.5791387177563,11.3786381071336,10.508667657706,13.0127381570264,5.88651362379571,7.93400538447023,6.30357027350879,0.29290538651865,0.183517288472183,0.067031357948696
TraesCS6D02G308800,0.122774869215863,0.5324671154419,0.342029036791367,0.675577717332064,0.576613551861245,0.600225735581735,0.404862612416965,1.80930403054817,0.764556575744683,2.84856600772245,1.48728660582339,1.00888348511931
TraesCS6D02G308900,10.9855488787173,10.398416786149,9.32687029361032,4.07789442536598,3.6852681186532,4.17717262953396,1.19794855185616,2.71795728814963,1.38202757863769,0.337145038258397,0.201176430832577,0.330666841048635
TraesCS6D02G309000,96.8209240985519,93.6583769619855,95.9090200481787,46.8717642283088,41.2312656170431,44.3996646676663,65.2323031465662,66.2085557078047,63.7652713842027,24.6235517757678,28.2419083754484,26.8557876822288
TraesCS7D02G104700,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G104900,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7D02G170200,51.7766426487175,47.6810855738942,49.7909288534846,52.6889885764623,51.9482797630419,53.4581653922234,57.3211847798347,59.9148850678538,55.4273328312271,45.3861926099104,48.7651160316875,49.0218601958254
